biomass C,soil C
64,81
64,84
62,86
63,86
62,87
62,87
62,87
63,88
62,88
63,88
63,88
62,88
64,88
62,89
63,89
62,89
64,89
64,89
63,89
63,89
63,90
62,90
62,91
64,91
60,91
62,91
63,91
63,91
62,92
64,92
63,92
63,92
63,92
62,92
60,92
60,92
61,93
62,93
60,93
60,93
62,93
60,93
63,94
62,94
60,94
64,94
63,94
62,94
61,94
64,95
62,95
62,95
60,95
62,95
60,95
63,96
61,96
61,96
61,96
62,96
61,96
60,96
63,97
61,97
60,97
63,97
61,97
61,97
61,97
61,97
60,98
61,98
60,98
60,98
63,98
61,98
64,98
62,98
62,98
67,99
60,99
64,99
60,99
60,99
62,99
62,100
62,100
60,100
63,100
63,100
62,100
62,100
64,100
62,100
64,101
64,101
62,101
62,101
63,101
64,101
62,101
61,101
61,101
60,101
60,101
61,101
62,101
60,102
60,102
61,102
61,102
61,102
60,102
64,102
60,102
60,102
61,102
63,102
61,102
63,102
61,103
62,103
61,103
62,103
62,103
60,103
64,104
64,104
62,104
61,104
63,104
49,104
60,104
60,104
61,104
62,104
60,104
62,104
62,104
62,105
61,105
62,105
65,105
60,105
61,105
63,106
60,106
60,106
61,106
60,106
63,106
64,106
63,106
63,106
62,106
63,106
61,107
64,107
61,107
65,107
60,107
61,107
62,107
61,107
63,107
62,107
61,107
64,107
60,108
61,108
60,108
60,108
60,108
64,108
62,108
61,108
64,108
61,108
63,109
63,109
62,109
61,109
61,109
64,109
62,109
61,109
62,109
60,109
62,110
60,110
60,110
67,110
62,110
64,110
63,110
62,110
63,110
60,110
62,110
60,110
64,110
60,110
61,111
66,111
64,111
63,111
62,111
60,111
62,111
61,111
62,111
63,111
61,112
60,112
61,112
60,112
61,112
63,112
61,112
64,113
61,113
60,113
60,113
60,113
64,113
65,113
65,113
62,113
63,114
60,114
61,114
64,114
60,114
61,114
62,114
65,114
76,114
61,114
60,114
61,114
60,114
61,114
61,115
61,115
60,115
61,115
61,115
63,115
67,116
63,116
60,116
64,116
65,116
63,116
63,116
60,117
60,117
60,117
61,117
62,117
61,117
60,117
61,117
62,117
61,117
61,118
63,118
63,118
61,118
63,118
63,118
62,118
61,118
61,118
60,118
62,118
63,118
63,118
61,118
60,119
61,119
62,119
63,119
63,119
60,119
61,119
60,119
61,119
60,119
64,119
61,119
60,119
61,120
74,120
61,120
60,120
60,120
60,120
65,120
61,120
62,120
61,120
64,120
65,121
62,121
61,121
61,121
61,121
60,121
61,121
64,121
63,121
63,122
61,122
64,122
61,122
61,122
64,122
60,122
60,122
60,122
61,123
62,123
61,123
60,123
61,123
60,123
62,123
60,123
61,123
61,123
63,123
64,124
61,124
61,124
50,124
62,124
62,124
76,125
62,125
61,125
61,125
63,125
61,125
65,125
61,125
63,125
63,125
61,125
62,125
60,126
63,126
61,126
61,126
60,126
61,126
61,126
60,126
61,126
62,126
61,126
62,126
60,126
61,127
61,127
61,127
69,127
61,127
61,127
60,127
61,127
61,128
62,128
63,128
61,128
61,128
63,128
51,128
61,128
77,128
62,128
61,128
61,128
50,128
60,128
60,128
61,128
62,128
60,128
63,128
60,129
74,129
61,129
63,129
61,129
62,129
63,129
77,129
73,129
61,129
62,130
52,130
63,130
60,130
61,130
62,131
64,131
60,131
61,131
60,131
64,131
64,131
55,131
62,131
63,131
54,131
62,131
63,131
67,131
60,132
61,132
61,132
61,132
54,132
64,132
63,132
60,132
64,132
62,132
77,132
61,132
64,132
60,133
44,133
74,133
60,133
61,133
61,133
63,133
87,133
60,133
63,133
69,133
60,133
62,134
64,134
62,134
73,134
78,134
64,134
63,134
61,134
65,134
61,134
61,134
69,134
61,134
55,134
61,134
62,134
66,135
64,135
50,135
61,135
51,135
67,135
56,135
60,135
68,135
56,135
54,135
63,135
64,135
62,135
61,135
77,136
63,136
60,136
61,136
51,136
53,136
60,136
63,136
64,136
61,136
67,137
61,137
60,137
90,137
63,137
61,137
67,138
54,138
62,138
63,138
63,138
62,138
61,138
60,138
61,138
61,138
61,138
70,138
61,138
62,138
74,138
63,138
61,138
64,139
60,139
63,139
59,139
62,139
61,139
60,139
64,139
61,139
99,140
61,140
67,140
51,140
61,140
64,140
62,140
63,140
56,140
67,140
71,140
62,140
56,140
61,140
65,141
60,141
72,141
62,141
53,141
62,141
63,141
81,141
59,142
60,142
65,142
64,142
71,142
61,142
60,142
61,142
99,143
62,143
59,143
62,143
50,143
65,143
71,143
62,143
62,143
64,143
60,143
61,143
61,143
68,143
61,144
61,144
56,144
61,144
71,144
63,144
64,144
64,144
59,145
71,145
62,145
60,145
65,145
67,145
60,145
60,145
64,145
65,145
59,146
76,146
59,146
59,146
63,146
63,146
64,146
64,146
76,147
31,147
61,147
62,147
64,147
61,147
65,147
67,147
65,148
63,148
61,148
61,148
60,148
65,148
60,148
59,149
60,149
61,149
59,149
60,149
61,149
60,149
63,149
62,149
62,149
63,149
62,149
67,150
59,150
63,150
61,150
71,150
57,150
70,150
64,150
65,150
61,150
58,150
61,150
87,150
60,150
60,151
61,151
84,151
63,151
60,151
64,151
52,151
70,151
62,151
63,151
49,152
65,152
70,152
60,152
57,152
63,152
65,152
56,152
61,152
84,152
60,153
60,153
59,153
65,153
60,153
84,154
43,154
62,154
65,154
71,154
61,155
61,155
52,155
71,155
64,155
70,155
71,155
77,155
59,155
65,156
35,156
62,156
70,156
62,156
59,157
54,157
65,157
67,157
60,157
60,157
64,157
76,157
66,158
63,158
76,158
61,158
85,158
71,158
72,158
48,158
34,159
84,159
66,159
64,159
61,159
64,159
64,159
60,159
49,159
98,160
60,160
60,160
60,160
61,160
48,161
69,161
71,161
68,161
67,161
73,161
30,161
83,161
99,162
88,162
87,163
49,163
60,163
51,163
58,163
71,163
59,164
73,164
75,164
67,165
58,165
70,165
44,165
71,165
62,165
70,165
81,165
71,166
49,166
81,166
49,166
62,167
60,167
73,167
71,167
60,167
62,167
38,167
63,167
84,167
71,167
88,167
64,168
70,168
62,168
60,168
72,168
67,168
60,168
99,169
69,169
48,169
60,169
64,169
71,169
68,169
73,169
59,170
62,170
86,170
68,170
69,170
68,170
65,170
71,170
81,170
70,170
59,171
76,171
70,171
50,171
54,172
59,172
60,172
57,172
71,172
87,172
61,172
60,173
72,173
88,173
48,173
64,173
88,173
51,173
60,173
71,173
66,174
71,174
70,174
62,174
59,175
97,175
64,175
70,175
75,175
48,175
96,176
99,176
79,176
74,176
71,176
62,176
67,176
49,176
66,177
62,177
86,177
69,177
51,178
60,178
74,179
59,179
78,179
62,179
62,179
86,179
50,180
57,180
62,180
50,180
74,180
61,180
64,180
60,180
77,180
84,180
60,180
61,180
65,180
80,181
49,181
61,181
44,181
67,181
60,181
87,181
53,181
78,181
71,181
48,181
66,181
77,181
71,181
67,181
69,182
76,182
70,182
60,182
61,182
53,183
60,183
46,183
17,183
52,183
59,183
70,183
71,183
63,183
84,183
62,183
48,183
69,184
60,184
60,184
67,184
47,184
32,184
61,184
65,184
73,184
59,185
55,185
52,185
88,185
69,185
81,185
73,185
86,185
54,186
67,186
69,186
71,186
62,186
76,186
53,186
88,186
54,186
54,187
98,187
87,187
78,187
53,188
76,188
84,188
61,188
88,188
63,188
71,188
62,188
60,189
62,189
59,189
49,189
60,189
75,189
88,189
79,189
60,190
45,190
72,190
65,190
63,190
47,190
77,190
79,190
79,190
77,191
46,191
68,191
45,191
53,191
44,191
59,191
78,191
64,191
65,191
80,191
74,191
19,192
79,192
71,192
65,192
69,192
65,192
83,192
47,193
66,193
74,193
51,193
67,193
99,193
80,193
64,193
78,193
64,193
59,194
51,194
60,194
64,194
71,194
77,194
50,194
65,194
59,194
78,194
36,194
84,194
81,194
64,194
77,194
79,194
52,195
60,195
49,195
65,195
48,195
60,195
51,195
59,195
78,195
64,195
61,195
108,195
79,195
60,195
62,195
76,196
73,196
88,196
36,196
68,196
48,196
78,196
71,196
60,197
44,197
17,197
68,197
59,197
59,197
43,197
62,197
71,197
63,197
98,197
83,197
75,197
63,197
78,197
65,197
46,198
74,198
87,198
83,198
73,198
68,198
74,198
56,198
68,198
71,198
71,198
60,198
60,198
60,198
48,198
85,199
60,199
73,199
52,199
70,199
92,199
81,199
87,199
79,199
61,199
88,199
49,199
76,199
38,199
67,200
96,200
86,200
51,200
98,200
60,200
72,200
63,200
87,200
78,200
63,200
82,200
88,200
47,201
68,201
67,201
67,201
85,201
87,201
79,201
78,201
67,201
70,201
97,202
67,202
75,202
73,202
87,202
46,202
82,202
77,202
82,202
64,202
88,202
56,202
46,203
59,203
59,203
68,203
71,203
71,203
70,203
54,203
66,203
83,203
81,203
78,204
68,204
58,204
87,204
64,204
88,204
83,204
64,204
71,204
82,204
74,204
79,204
88,204
73,204
85,204
87,204
60,205
69,205
78,205
47,205
65,205
56,205
53,205
85,205
71,205
44,205
64,205
46,206
82,206
66,206
70,206
94,206
59,206
69,206
64,206
79,206
85,206
71,206
79,206
62,206
31,206
71,206
90,206
46,207
60,207
82,207
63,207
62,207
88,207
78,207
83,207
80,207
71,207
88,207
73,207
65,207
69,207
87,207
86,208
59,208
68,208
74,208
49,208
70,208
85,208
88,208
73,208
70,208
68,208
78,208
68,209
69,209
47,209
67,209
55,209
88,209
84,209
88,209
50,209
77,209
88,209
62,209
76,209
70,209
70,210
60,210
78,210
64,210
85,210
63,210
63,210
79,210
56,211
59,211
87,211
79,211
52,211
48,211
78,211
72,211
48,211
71,211
71,211
88,211
64,212
90,212
47,212
68,212
50,212
71,212
71,212
87,212
65,212
72,212
70,212
71,212
66,212
50,212
78,212
60,213
60,213
76,213
73,213
61,213
53,213
47,213
74,213
52,213
79,213
73,213
88,213
71,213
74,214
68,214
72,214
65,214
62,214
50,214
70,214
56,214
86,214
54,214
86,214
71,214
64,214
63,214
86,214
63,215
53,215
48,215
47,215
71,215
74,216
60,216
78,216
78,216
66,216
81,216
76,216
63,216
76,216
87,216
57,217
69,217
52,217
52,217
56,217
70,217
59,217
88,217
71,217
78,217
77,217
65,217
70,217
73,218
70,218
69,218
78,218
73,218
63,218
62,219
71,219
73,219
51,219
71,219
68,219
88,219
78,219
71,219
87,219
84,219
85,220
85,220
84,220
84,220
99,220
71,220
83,220
73,220
84,220
79,220
55,220
78,220
73,220
78,220
46,221
63,221
66,221
74,221
52,221
86,221
57,221
59,221
71,221
83,221
69,221
88,221
43,222
63,222
50,222
63,222
79,222
74,222
71,222
62,222
49,222
73,223
69,223
67,223
78,223
81,223
66,223
78,223
70,223
77,223
73,223
71,223
99,224
76,224
96,224
58,224
98,224
64,224
58,224
71,224
77,224
61,224
66,224
45,224
86,224
60,224
74,224
88,224
87,224
67,225
46,225
58,225
88,225
68,225
67,225
78,225
73,225
97,226
57,226
87,226
69,226
63,226
66,226
51,226
44,226
79,226
76,226
87,226
87,226
67,227
64,227
50,227
85,227
67,227
70,227
70,227
78,227
80,227
77,227
98,227
76,227
78,227
90,227
76,228
76,228
82,228
83,228
67,228
86,228
70,228
62,228
64,228
69,228
82,228
78,228
67,229
67,229
65,229
60,229
74,229
51,229
69,229
74,229
88,229
68,229
71,229
78,229
60,229
85,229
86,229
48,229
85,229
79,229
70,229
48,229
77,229
65,230
45,230
84,230
63,230
48,230
56,230
73,230
70,230
88,230
68,230
75,230
87,230
86,230
60,231
67,231
88,231
80,231
58,231
48,231
78,231
49,231
79,231
76,231
79,231
88,231
64,231
81,232
79,232
47,232
59,232
79,232
63,232
48,232
46,232
88,232
48,232
70,232
83,232
70,232
62,232
68,232
77,232
48,233
53,233
88,233
74,233
60,233
88,233
84,233
88,233
71,233
49,233
58,233
61,233
75,233
50,233
35,233
71,233
76,234
62,234
74,234
70,234
67,234
77,234
75,234
68,234
41,234
61,234
66,234
88,234
67,234
62,234
51,234
65,235
85,235
65,235
79,235
60,235
63,235
87,235
81,235
52,235
60,235
65,235
59,235
78,235
32,235
86,235
88,235
85,235
79,235
77,235
79,235
78,235
43,236
65,236
67,236
59,236
79,236
51,236
85,236
75,236
88,236
70,236
64,236
49,236
87,236
62,236
62,236
79,236
81,236
44,236
71,236
49,236
68,236
79,236
70,236
78,236
74,237
71,237
49,237
70,237
60,237
30,237
46,237
80,237
72,237
87,237
86,237
80,237
88,237
57,237
61,237
88,237
68,237
51,237
67,237
34,237
73,237
58,237
52,238
82,238
53,238
52,238
74,238
59,238
52,238
71,238
84,238
75,238
57,238
71,238
80,238
70,238
71,238
60,238
73,238
71,238
81,238
50,239
65,239
73,239
45,239
64,239
63,239
99,239
76,239
56,239
63,239
88,239
49,239
59,239
84,239
70,239
64,239
82,239
49,239
74,239
49,239
88,239
81,240
78,240
59,240
74,240
86,240
78,240
79,240
88,240
76,240
86,240
78,240
88,240
77,240
78,240
73,240
86,240
66,241
61,241
74,241
51,241
