"","SOURCEID","DEPTH","OCDENS","MNGUSG_30mf","SOCS_0_200cm_30m","mfw_30m","a2012mfw_30m","TREL10_30m","TRC_30m","SW1L14_30m","SW2L14_30m","SW1_30m","SW2_30m","SRTMGL1_30m","REDL14_30m","RED_30m","OCCGSW_30m","NIRL14_30m","EXTGSW_30m","NIR_30m","SST_1_30m","SST_2_30m","SST_3_30m","SST_4_30m","TSM_1_30m","TSM_2_30m","TSM_3_30m","TSM_4_30m","TidalRange_30m","MTYP_Organogenic_30m","MTYP_Mineralogenic_30m","MTYP_Estuarine_30m","OCDENS.predicted"
"1","JBK11 RP Seaward",7.5,43,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,39.5639018389018
"2","JBK11 RP Seaward",22.5,40,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,39.0634186759187
"3","JBK11 RP Seaward",40,33,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,36.8005870841487
"4","JBK11 RP Seaward",69.5,31,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,34.5624105447022
"5","JBK11 RP Seaward",15,43,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,39.8095077220077
"6","JBK11 RP Seaward",30,40,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,35.2680909003277
"7","JBK11 RP Seaward",50,33,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,33.7860719764566
"8","JBK11 RP Seaward",89,31,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,34.2632246748685
"9","JBK11 RP Seaward",0,43,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,40.4007330246914
"10","JBK11 RP Seaward",15,40,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,40.3338504778803
"11","JBK11 RP Seaward",30,33,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,38.9995339237877
"12","JBK11 RP Seaward",50,31,100,1084,787,787,90,95,27,10,28,8,10,9,10,0,66,0,96,2741,2885,2806,2862,163,185,225,160,4990,0,100,0,34.206015037594
"13","JBK11 RP Interior",7.5,39,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,41.9375317969068
"14","JBK11 RP Interior",22.5,47,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,42.990391573296
"15","JBK11 RP Interior",40,42,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,44.8111607142857
"16","JBK11 RP Interior",75.5,47,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,44.768734632371
"17","JBK11 RP Interior",15,39,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,44.3460002497502
"18","JBK11 RP Interior",30,47,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,43.3783758104181
"19","JBK11 RP Interior",50,42,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,45.2326206140351
"20","JBK11 RP Interior",101,47,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,45.7753527336861
"21","JBK11 RP Interior",0,39,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,42.6394586894587
"22","JBK11 RP Interior",15,47,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,41.1287732528909
"23","JBK11 RP Interior",30,42,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,45.2840625644197
"24","JBK11 RP Interior",50,47,100,1044,919,919,93,97,31,10,29,8,9,8,8,0,114,0,101,2741,2884,2807,2862,162,186,224,160,4990,0,100,0,43.9813031976076
"25","JBK11 RP Landward",7.5,43,100,947,919,919,90,95,37,14,65,26,13,6,13,0,93,0,110,2742,2884,2808,2862,162,188,224,160,4991,0,100,0,46.3956819275001
"26","JBK11 RP Landward",22.5,47,100,947,919,919,90,95,37,14,65,26,13,6,13,0,93,0,110,2742,2884,2808,2862,162,188,224,160,4991,0,100,0,49.1084772370487
